time centers	number conc comb	mass conc comb	number conc BBHG	mass conc BBHG	number conc BBLG	mass conc BBLG	"this is for 20150501 sp258 using calib ID 16,17 (quadratic fits) with AD corr added, file x001-x011"																						
5-1-2015 03:57:30	2.24973	0.006892	2.24973	0.006892	2.16641	0.00694231																							
5-1-2015 03:58:30	1.24982	0.00358035	1.24982	0.00358035	1.08318	0.00358561																							
5-1-2015 03:59:30	2.08302	0.0083813	2.08302	0.00835541	2.08302	0.00833826																							
5-1-2015 04:00:30	2.00028	0.00521405	2.00028	0.00521405	1.75024	0.00519581																							
5-1-2015 04:01:30	1.33355	0.00382337	1.33355	0.00382337	1.25021	0.00380114																							
5-1-2015 04:02:30	2.08362	0.00552032	2.08362	0.00552032	2.00028	0.00564835																							
5-1-2015 04:03:30	1.24876	0.0070307	1.24876	0.00602487	1.24876	0.00704049																							
5-1-2015 04:04:30	1.58965	0.00556602	1.58965	0.00556602	1.33865	0.00557647																							
5-1-2015 04:05:30	1.24532	0.00295375	1.24532	0.00295375	1.07927	0.00295371																							
5-1-2015 04:06:30	1.66756	0.00506344	1.66756	0.00506344	1.5008	0.00497155																							
5-1-2015 04:07:30	1.9165	0.00350492	1.9165	0.00350492	1.66653	0.00365626																							
5-1-2015 04:08:30	1.50379	0.00533335	1.50379	0.00533335	1.50379	0.00534483																							
5-1-2015 04:09:30	1.16689	0.00193729	1.16689	0.00193729	1.00019	0.00203288																							
5-1-2015 04:10:30	0.833294	0.0020403	0.833294	0.0020403	0.749964	0.00203624																							
5-1-2015 04:11:30	1.08408	0.00998701	1.08408	0.00568584	1.08408	0.00999167																							
5-1-2015 04:12:30	1.16678	0.00716902	1.16678	0.00484989	0.916759	0.0070719																							
5-1-2015 04:13:30	0.91636	0.00174146	0.91636	0.00174146	0.833055	0.0018291																							
5-1-2015 04:14:30	1.41686	0.00647038	1.41686	0.00547703	1.25017	0.00648138																							
5-1-2015 04:15:30	1.66548	0.00534373	1.66548	0.00534373	1.58221	0.00542246																							
5-1-2015 04:16:30	1.50107	0.00963154	1.50107	0.00699343	1.50107	0.00971039																							
5-1-2015 04:17:30	1.58427	0.00473158	1.58427	0.00473158	1.33412	0.00464058																							
5-1-2015 04:18:30	1.49652	0.00447743	1.49652	0.00447743	1.33024	0.00458855																							
5-1-2015 04:19:30	1.25199	0.00253193	1.25199	0.00253193	1.08506	0.00258999																							
5-1-2015 04:20:30	1.41614	0.00528316	1.41614	0.00528316	1.33284	0.00509747																							
5-1-2015 04:21:30	1.83432	0.00845499	1.83432	0.00736834	1.58418	0.00835364																							
5-1-2015 04:22:30	1.24984	0.0064177	1.24984	0.00498319	1.16652	0.00639048																							
5-1-2015 04:23:30	1.16627	0.00349632	1.16627	0.00349632	1.08297	0.00346284																							
5-1-2015 04:24:30	1.75074	0.00576688	1.75074	0.00576688	1.66737	0.0057849																							
5-1-2015 04:25:30	1.41617	0.00401621	1.41617	0.00401621	1.33287	0.00408671																							
5-1-2015 04:26:30	1.41743	0.00316058	1.41743	0.00316058	1.25068	0.0032111																							
5-1-2015 04:27:30	2.41692	0.0218558	2.41692	0.0132907	2.16689	0.0214663																							
5-1-2015 04:28:30	1.41562	0.00934653	1.41562	0.00520198	1.1658	0.0093032																							
5-1-2015 04:29:30	1.33441	0.00430088	1.33441	0.00430088	1.08421	0.00420906																							
5-1-2015 04:30:30	1.58267	0.00546175	1.58267	0.00481942	1.41607	0.00549757																							
5-1-2015 04:31:30	1.16621	0.00265455	1.16621	0.00265455	0.916309	0.0025916																							
5-1-2015 04:32:30	1.25068	0.00349572	1.25068	0.00349572	1.00054	0.00335589																							
5-1-2015 04:33:30	1.50001	0.0119761	1.50001	0.00554913	1.50001	0.012172																							
5-1-2015 04:34:30	1.50014	0.00679927	1.50014	0.00679927	1.4168	0.00668687																							
5-1-2015 04:35:30	1.41654	0.0176348	1.41654	0.0050217	1.16657	0.0175731																							
5-1-2015 04:36:30	1.07929	0.00263814	1.07929	0.00263814	0.913247	0.00259092																							
5-1-2015 04:37:30	1.75616	0.00644492	1.75616	0.00556973	1.75616	0.00659586																							
5-1-2015 04:38:30	1.58319	0.00691859	1.58319	0.0069563	1.33321	0.00670447																							
