time centers	number conc BBHG	mass conc BBHG	"this is for 20130601 using calib ID 2, AD corr added, file x001-x010"
6-1-2013 01:23:15	51.9985		
6-1-2013 01:23:25	52.457		
6-1-2013 01:23:35	54.0106		
6-1-2013 01:23:45	53.9814		
6-1-2013 01:23:55	47.0294		
6-1-2013 01:24:05	51.473		
6-1-2013 01:24:15	38.4747		
6-1-2013 01:24:25	38.6191		
6-1-2013 01:24:35	35.474		
6-1-2013 01:24:45	34.4325		
6-1-2013 01:24:55	27.5272		
6-1-2013 01:25:05	32.4488		
6-1-2013 01:25:15	36.5317		
6-1-2013 01:25:25	43.0701		
6-1-2013 01:25:35	39.0147		
6-1-2013 01:25:45	36.5054		
6-1-2013 01:25:55	31.4194		
6-1-2013 01:26:05	39.5766		
6-1-2013 01:26:15	29.0131		
6-1-2013 01:26:25	33.5269		
6-1-2013 01:26:35	30.4512		
6-1-2013 01:26:45	39.5344		
6-1-2013 01:26:55	33.4985		
6-1-2013 01:27:05	29.0463		
6-1-2013 01:27:15	39.0167		
6-1-2013 01:27:25	29.9376		
6-1-2013 01:27:35	37.5324		
6-1-2013 01:27:45	31.0264		
6-1-2013 01:27:55	35.9686		
6-1-2013 01:28:05	40.5591		
6-1-2013 01:28:15	30.4666		
6-1-2013 01:28:25	26.9459		
6-1-2013 01:28:35	29.0511		
6-1-2013 01:28:45	31.5325		
6-1-2013 01:28:55	32.9763		
6-1-2013 01:29:05	32.9722		
6-1-2013 01:29:15	37.0457		
6-1-2013 01:29:25	45.0364		
6-1-2013 01:29:35	36.4488		
6-1-2013 01:29:45	43.0477		
6-1-2013 01:29:55	41.0152		
6-1-2013 01:30:05	37.4681		
6-1-2013 01:30:15	40.9808		
6-1-2013 01:30:25	35.5067		
6-1-2013 01:30:35	48.0199		
6-1-2013 01:30:45	45.4897		
6-1-2013 01:30:55	29.5015		
6-1-2013 01:31:05	43.5003		
6-1-2013 01:31:15	35.027		
6-1-2013 01:31:25	36.4183		
6-1-2013 01:31:35	36.0377		
6-1-2013 01:31:45	34.4723		
6-1-2013 01:31:55	41.5264		
6-1-2013 01:32:05	33.0225		
6-1-2013 01:32:15	28.4935		
6-1-2013 01:32:25	34.8536		
6-1-2013 01:32:35	33.979		
6-1-2013 01:32:45	27.0318		
6-1-2013 01:32:55	19.5482		
6-1-2013 01:33:05	21.4818		
6-1-2013 01:33:15	19.9418		
6-1-2013 01:33:25	24.0191		
6-1-2013 01:33:35	27.0762		
6-1-2013 01:33:45	18.9158		
6-1-2013 01:33:55	24.5847		
6-1-2013 01:34:05	16.5087		
6-1-2013 01:34:15	12.4773		
6-1-2013 01:34:25	18.028		
6-1-2013 01:34:35	18.9829		
6-1-2013 01:34:45	17.5065		
6-1-2013 01:34:55	26.5123		
6-1-2013 01:35:05	31.9848		
6-1-2013 01:35:15	30.4989		
6-1-2013 01:35:25	22.0046		
6-1-2013 01:35:35	17.997		
6-1-2013 01:35:45	22.9633		
6-1-2013 01:35:55	10.5083		
6-1-2013 01:36:05	13.0055		
6-1-2013 01:36:15	11.0034		
6-1-2013 01:36:25	10.5052		
6-1-2013 01:36:35	7.99234		
6-1-2013 01:36:45	13.5131		
6-1-2013 01:36:55	9.9851		
6-1-2013 01:37:05	15.0131		
6-1-2013 01:37:15	15.002		
6-1-2013 01:37:25	11.9958		
6-1-2013 01:37:35	10.0048		
6-1-2013 01:37:45	11.4974		
6-1-2013 01:37:55	11.4931		
6-1-2013 01:38:05	16.0045		
6-1-2013 01:38:15	12.496		
6-1-2013 01:38:25	12.499		
6-1-2013 01:38:35	10.0181		
6-1-2013 01:38:45	12.9847		
6-1-2013 01:38:55	12.5045		
6-1-2013 01:39:05	18.4786		
6-1-2013 01:39:15	11.4969		
6-1-2013 01:39:25	12.5139		
6-1-2013 01:39:35	8.48867		
6-1-2013 01:39:45	9.51197		
6-1-2013 01:39:55	9.00045		
6-1-2013 01:40:05	10.5032		
6-1-2013 01:40:15	12.9885		
6-1-2013 01:40:25	8.50646		
6-1-2013 01:40:35	4.50409		
6-1-2013 01:40:45	8.48362		
6-1-2013 01:40:55	9.01207		
6-1-2013 01:41:05	7.49588		
6-1-2013 01:41:15	6.49377		
6-1-2013 01:41:25	9.5029		
6-1-2013 01:41:35	7.99513		
6-1-2013 01:41:45	8.00268		
6-1-2013 01:41:55	9.01965		
6-1-2013 01:42:05	11.9826		
6-1-2013 01:42:15	6.99231		
6-1-2013 01:42:25	10.5392		
6-1-2013 01:42:35	6.4834		
6-1-2013 01:42:45	6.99044		
6-1-2013 01:42:55	9.52412		
6-1-2013 01:43:05	2.99657		
6-1-2013 01:43:15	8.49922		
6-1-2013 01:43:25	4.49961		
6-1-2013 01:43:35	4.00627		
