time centers	number conc BBHG	mass conc BBHG	"this is for 20110801 sp217 using calib ID 1 (linear fit) with AD corr added, file x001-x007"	
8-1-2011 11:24:02				
8-1-2011 11:25:02				
8-1-2011 11:26:02				
8-1-2011 11:27:02				
8-1-2011 11:28:02	0.0698983	0.000163009		
8-1-2011 11:29:02				
8-1-2011 11:30:02				
8-1-2011 11:31:02				
8-1-2011 11:32:02				
8-1-2011 11:33:02				
8-1-2011 11:34:02				
8-1-2011 11:35:02				
8-1-2011 11:36:02				
8-1-2011 11:37:02				
8-1-2011 11:38:02	0.0739753	0.000179162		
8-1-2011 11:39:02				
8-1-2011 11:40:02				
8-1-2011 11:41:02				
8-1-2011 11:42:02				
8-1-2011 11:43:02				
8-1-2011 11:44:02				
8-1-2011 11:45:02				
8-1-2011 11:46:02				
8-1-2011 11:47:02				
8-1-2011 11:48:02	0.0707913	0.000163302		
8-1-2011 11:49:02				
8-1-2011 11:50:02				
8-1-2011 11:51:02				
8-1-2011 11:52:02				
8-1-2011 11:53:02				
8-1-2011 11:54:02				
8-1-2011 11:55:02				
8-1-2011 11:56:02				
8-1-2011 11:57:02				
8-1-2011 11:58:02	0.0859223	0.000284181		
8-1-2011 11:59:02				
8-1-2011 12:00:02				
8-1-2011 12:01:02				
8-1-2011 12:02:02				
8-1-2011 12:03:02				
8-1-2011 12:04:02				
8-1-2011 12:05:02				
8-1-2011 12:06:02				
8-1-2011 12:07:02				
8-1-2011 12:08:02	0.0509276	8.38E-05		
8-1-2011 12:09:02				
8-1-2011 12:10:02				
8-1-2011 12:11:02				
8-1-2011 12:12:02				
8-1-2011 12:13:02				
8-1-2011 12:14:02				
8-1-2011 12:15:02				
8-1-2011 12:16:02				
8-1-2011 12:17:02				
8-1-2011 12:18:02	0.0601007	0.000136207		
8-1-2011 12:19:02				
8-1-2011 12:20:02				
8-1-2011 12:21:02				
8-1-2011 12:22:02				
8-1-2011 12:23:02				
8-1-2011 12:24:02				
8-1-2011 12:25:02				
8-1-2011 12:26:02				
8-1-2011 12:27:02				
8-1-2011 12:28:02	0.0383946	4.88E-05		
